composition,activity Acetone,activity n-Pentane,potential Acetone,potential n-Pentane,total Gibbs energy
0.05,4.453025077138834,1.0202006798535814,-5980.089604760593,-375.04323799232066,-655.2955563307343
0.1,3.0150451402103204,1.0518701367292516,-5206.257855241977,-435.01670828694563,-912.1408229824489
0.15000000000000002,2.3790099234212985,1.0876036909170066,-4776.090201740766,-495.6393486219316,-1137.706976589757
0.2,2.0125367509305376,1.1266139354771225,-4468.797661277744,-560.4315438681185,-1342.1047673500436
0.25,1.7717141609859575,1.1688944610788097,-4224.545704158147,-631.1246501865279,-1529.4799136794327
0.3,1.600607510855794,1.2146661945214592,-4018.4209898508084,-709.1820003313796,-1701.9536971872083
0.35,1.4726772902999896,1.2642654691568762,-3837.584973569344,-796.1829809764436,-1860.6736783839588
0.39999999999999997,1.3736157528153183,1.3181173652187033,-3674.497305104554,-894.0151822228538,-2006.2080313755337
0.44999999999999996,1.2949926206380618,1.3767342109016303,-3524.310292331137,-1005.0487739629557,-2138.7164572286374
0.49999999999999994,1.231507270302416,1.440724869220959,-3383.687555380897,-1132.3572614397333,-2258.0224084103147
0.5499999999999999,1.1796602561252134,1.5108109723316425,-3250.202714134881,-1280.039799861517,-2363.629402711867
0.6,1.1370546639373045,1.5878495242386794,-3122.005488607646,-1453.7279563367329,-2454.6944756992807
0.65,1.1020038734375694,1.672862701722754,-2997.622942111345,-1661.430980689378,-2529.9557556136565
0.7000000000000001,1.0732997352640572,1.7670766311420343,-2875.833958684016,-1915.038448200471,-2587.5953055389527
0.7500000000000001,1.0500700003419363,1.871971876760088,-2755.5855561975773,-2233.209566538409,-2624.991558782785
0.8000000000000002,1.031688109277719,1.989349591473087,-2635.9340031149836,-2647.5356356824273,-2638.2543296284725
0.8500000000000002,1.017715258473138,2.1214189778322816,-2516.0009245202264,-3217.7531546417595,-2621.2637590384566
0.9000000000000002,1.0078634137851854,2.270914180205129,-2394.9383904468086,-4078.8501268440764,-2563.329564086535
0.9500000000000003,1.0019727707767148,2.44125242426918,-2271.899048350911,-5663.425915586889,-2441.475391712709
